City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nishinoomote,30.7333,131.0,23.23,95,100,7.98,JP,1686522591
1,bredasdorp,-34.5322,20.0403,14.04,79,100,5.65,ZA,1686522591
2,puerto natales,-51.7236,-72.4875,4.74,85,82,7.78,CL,1686522591
3,hermanus,-34.4187,19.2345,15.45,91,100,9.72,ZA,1686522591
4,laguna,38.421,-121.4238,30.8,47,0,4.63,US,1686522591
5,invercargill,-46.4,168.35,8.37,87,97,3.3,NZ,1686522592
6,salalah,17.0151,54.0924,30.05,84,40,2.57,OM,1686522592
7,waitangi,-43.9535,-176.5597,13.23,96,100,0.45,NZ,1686522592
8,kalabo,-14.97,22.6814,16.36,39,0,0.91,ZM,1686522592
9,thunder bay,48.4001,-89.3168,19.99,22,75,6.17,CA,1686522592
10,bethel,41.3712,-73.414,26.87,54,0,3.6,US,1686522592
11,ust-nera,64.5667,143.2,18.58,52,100,4.34,RU,1686522592
12,avarua,-21.2078,-159.775,27.03,78,6,2.06,CK,1686522592
13,adamstown,-25.066,-130.1015,20.62,64,19,7.06,PN,1686522593
14,la'ie,21.6477,-157.9253,30.98,64,11,2.68,US,1686522593
15,kodiak,57.79,-152.4072,9.73,76,75,6.69,US,1686522593
16,horsham,51.064,-0.3272,20.0,93,0,1.03,GB,1686522117
17,sumbawa besar,-8.5,117.4333,21.97,82,100,2.33,ID,1686522593
18,ribeira grande,38.5167,-28.7,19.87,83,83,6.71,PT,1686522593
19,port-aux-francais,-49.35,70.2167,5.24,90,100,18.68,TF,1686522593
20,luganville,-15.5333,167.1667,24.6,86,96,4.76,VU,1686522593
21,kingston,17.997,-76.7936,31.8,69,20,8.75,JM,1686521842
22,edinburgh of the seven seas,-37.0676,-12.3116,16.41,82,64,11.71,SH,1686522594
23,bicester,51.9,-1.1536,18.79,94,100,1.76,GB,1686522594
24,papatowai,-46.5619,169.4708,9.79,83,76,3.8,NZ,1686522594
25,saldanha,-33.0117,17.9442,13.03,87,100,5.71,ZA,1686522594
26,afaahiti,-17.75,-149.2833,26.93,68,96,6.71,PF,1686522594
27,nuku'alofa,-21.1333,-175.2,24.19,64,75,2.57,TO,1686522594
28,grytviken,-54.2811,-36.5092,-3.29,84,32,5.23,GS,1686522594
29,marine corps base hawaii - mcbh,21.4453,-157.7513,30.98,63,40,5.66,US,1686522595
30,akureyri,65.6835,-18.0878,12.96,50,20,9.26,IS,1686522595
31,thompson,55.7435,-97.8558,26.09,34,40,5.66,CA,1686522595
32,maebaru-chuo,33.55,130.2,24.41,87,100,1.06,JP,1686522595
33,howrah,22.5892,88.3103,27.0,94,75,2.06,IN,1686522595
34,flying fish cove,-10.4217,105.6791,24.82,94,100,4.12,CX,1686522595
35,blackmans bay,-43.0167,147.3167,8.62,89,100,2.82,AU,1686522595
36,bardai,11.65,7.2333,25.66,68,84,3.58,NG,1686522596
37,dryden,49.7833,-92.7503,22.16,28,20,2.57,CA,1686522596
38,punta arenas,-53.15,-70.9167,3.06,87,40,7.2,CL,1686522517
39,yarmouth,41.7057,-70.2286,23.41,71,0,3.6,US,1686522158
40,suntar,62.1444,117.6319,8.73,52,87,4.54,RU,1686522596
41,wailua homesteads,22.0669,-159.378,28.24,78,40,6.17,US,1686522596
42,klyuchi,52.2667,79.1667,13.99,64,0,0.46,RU,1686522596
